id,target
4941,5797092.592020769
51775,1204696.1786658356
115253,2483121.221853779
299321,1605832.2014867535
173570,647993.904465298
30862,1522850.6724810887
244471,2101940.461888052
127794,612888.7716842531
71558,2651142.3015753618
218011,1027034.2467745204
148208,3579033.5405291715
155735,543663.393543172
100698,3748345.7818104485
241403,1656426.1599553917
195272,3642999.8667682703
238663,1289619.0499066503
262957,5140982.007551472
207082,945349.0096314363
298896,406783.1717777359
220946,873239.1790382907
74581,1391284.843426649
253578,6475484.46908506
47620,3016542.7611972354
92772,2104626.6711189314
116904,2368484.5764352507
208352,7215826.428222634
76044,1362864.6824436297
202667,641374.5341732507
62134,5162847.069692442
277353,4291460.730758764
64194,3879082.9829700496
295822,4486883.401854783
27391,2345011.9490661956
203500,1252511.5094235921
264505,1220588.5553219214
297455,1567524.390555352
137985,1854435.4235440001
47622,4051912.860594945
21911,1266193.3987278724
94181,2471870.6961201443
68117,1488353.9282083511
39648,768546.5072095802
73722,3488820.649040641
133456,1291304.4615746064
30763,8561166.379936056
58096,525036.9411501947
126979,1750009.60112139
149636,2051412.1182812105
27810,2558043.2357785664
272001,6443711.108784448
114617,4993708.620006999
190693,5321540.686337773
219814,1988947.8178843146
67164,3077871.1427018354
83961,5100394.952799442
254122,2756289.5027502174
141378,5098708.869507564
151754,975524.4729799117
125013,660793.7282702175
273552,1204154.5471143532
201853,1003582.1701273407
99511,2900978.3554861583
25140,8477619.58968248
7603,1085912.329349675
84095,2557742.47400537
84071,3379300.951230916
151177,1857235.4139965854
294081,1489077.1111000278
88694,1694795.1997207026
99932,1378967.8207728944
14442,923865.5214749903
162220,1570351.2038428413
163631,3758245.9965794967
49023,878131.1436022684
80644,6606463.896968597
274016,1695059.1961582375
64876,1060344.6719952447
156696,8242778.104925413
295991,1931385.2161806426
192037,3534351.398414675
118765,1473778.9874008114
94748,3228668.3692163117
251764,4033062.6712425225
60381,471326.2399239854
283938,673767.5528712072
195995,475791.8469080812
112778,2347153.990143704
76727,2160035.093879565
21435,1619602.7193464537
17468,3461200.3080471484
225673,4190757.1421419242
79759,2985573.0909460303
257599,1373411.874005946
270720,4053723.3677772535
153801,3569172.189714984
92266,3751451.5223888173
207329,5343923.355819783
243955,4354843.0998886945
288928,5520758.772144822
186600,3839497.173443954
48005,960622.3502137547
212520,1807453.3070729282
294075,1139778.78188963
131575,1259608.6497988468
202057,4858182.327752207
239160,1428276.0626037768
92611,1411833.7401420427
268351,2430383.4552915404
259109,1573484.586652914
265328,1296356.786863634
229144,1636936.8274207665
261302,2155669.2257378954
84117,2583716.5124561125
31189,4349268.298468279
107254,2488311.9528557505
192798,1174476.5102377317
28083,1922516.1165380029
118789,3465668.8577056103
2152,6720218.789664318
287026,1100513.8325982403
249169,2645952.448303243
137539,3991303.751924408
46291,390798.2055931319
30233,3914892.789534988
175145,1571417.8697535957
50676,567155.1159044052
71570,1837449.7091841649
219843,1966588.510859932
36279,2493292.829946843
66052,668910.7919322188
252609,3828568.7437506383
24783,6910959.739277694
299327,4329079.845705999
95349,4888532.504432844
46332,665997.647773772
91240,3158051.5032353806
5445,1573390.8414811674
272876,1287000.421003841
43811,2610066.672878312
217082,5881576.632728672
100370,4585897.382631102
258874,1192910.9781953883
121949,1170062.3419409078
212950,494854.5748839782
200057,3965645.474487815
229177,1936386.4171079108
287838,695556.9132956004
213118,1923862.8342864509
176475,1202564.5071019554
118176,11422287.633855611
209024,1812313.5599968422
221906,2429481.1921978886
42493,2124435.073524895
223728,1522403.9929926675
141993,3478825.1106626703
55675,2551014.7137193508
224087,3649844.26839574
83655,1836459.4455412815
61917,2924998.8182066255
153665,2603696.364889249
155758,8466732.705945557
190393,6882022.039544312
231050,910465.1736611082
201122,3871105.4362447015
59267,680461.8533321709
262487,8626864.818456832
188582,3012182.993949466
131814,1042115.7182416281
73949,5704241.776717508
154308,9670797.10707842
167194,656216.8651270386
277393,2371556.5138412756
196835,1793653.9255902052
91690,2242838.075332841
